Date,Short Volume,Total Volume
4/3/2014,88778,216453
4/4/2014,87592,202214
4/7/2014,60576,127452
4/8/2014,71461,144122
4/9/2014,52226,106693
4/10/2014,68528,118084
4/11/2014,60500,98827
4/14/2014,61146,91688
4/15/2014,60930,142060
4/16/2014,97369,178677
4/17/2014,118589,223325
4/21/2014,37671,81286
4/22/2014,32737,79177
4/23/2014,33145,60158
4/24/2014,41549,77698
4/25/2014,48805,98828
4/28/2014,76380,140327
4/29/2014,41545,90063
4/30/2014,35216,86644
5/1/2014,39386,83573
5/2/2014,39291,81311
5/5/2014,20964,57411
5/6/2014,35559,71082
5/7/2014,67500,114366
5/8/2014,86571,143743
5/9/2014,64388,111601
5/12/2014,38778,69778
5/13/2014,52809,106580
5/14/2014,32138,50759
5/15/2014,60675,103941
5/16/2014,48988,79830
5/19/2014,41386,100530
5/20/2014,50476,92507
5/21/2014,54669,77349
5/22/2014,53251,87295
5/23/2014,85321,131951
5/27/2014,54648,99932
5/28/2014,48716,75024
5/29/2014,40006,76110
5/30/2014,41834,81721
6/2/2014,39732,72209
6/3/2014,42653,80793
6/4/2014,76317,120955
6/5/2014,44604,90390
6/6/2014,30369,66768
6/9/2014,40112,67260
6/10/2014,44102,73209
6/11/2014,42058,74818
6/12/2014,39018,73768
6/13/2014,42057,68596
6/16/2014,48941,79280
6/17/2014,24984,56483
6/18/2014,49001,105852
6/19/2014,82038,149924
6/20/2014,53449,100807
6/23/2014,36430,71364
6/24/2014,55028,114531
6/25/2014,45513,95364
6/26/2014,48951,93384
6/27/2014,34394,54467
6/30/2014,29575,49405
7/1/2014,37029,64223
7/2/2014,17757,35515
7/3/2014,26118,50430
7/7/2014,18727,40270
7/8/2014,39383,78449
7/9/2014,32865,61885
7/10/2014,37364,64680
7/11/2014,36709,77497
7/14/2014,47781,80588
7/15/2014,39216,61343
7/16/2014,32847,54739
7/17/2014,56807,96251
7/18/2014,117819,181448
7/21/2014,37932,77498
7/22/2014,41951,84731
7/23/2014,27997,46131
7/24/2014,22266,50247
7/25/2014,19794,45021
7/28/2014,20605,46272
7/29/2014,18622,40225
7/30/2014,23500,49918
7/31/2014,41327,86250
8/1/2014,44143,86098
8/4/2014,41662,62734
8/5/2014,49076,69287
8/6/2014,27465,49379
8/7/2014,26359,51963
8/8/2014,33978,63185
8/11/2014,22871,42619
8/12/2014,24883,40199
8/13/2014,44992,81480
8/14/2014,29396,42233
8/15/2014,36961,62976
8/18/2014,22081,41660
8/19/2014,20185,34985
8/20/2014,15392,26882
8/21/2014,17518,43754
8/22/2014,25546,36935
8/25/2014,24440,46054
8/26/2014,20643,42169
8/27/2014,28475,45860
8/28/2014,27514,41437
8/29/2014,19887,35473
9/2/2014,28565,43876
9/3/2014,30346,62346
9/4/2014,40576,70643
